genes	MYCNneg_Runx1t1Het	MYCNneg_Runx1t1Hom	MYCNpos_Runx1t1Het	MYCNpos_Runx1t1Hom	Tumour
Gsto1	44.44333333	44.195	35.32	65.66	80.39
Klhl23	8.306666667	7.9825	9.35	17.69	17.735
Prr11	1.98	2.4575	4.03	12.03666667	24.155
Cebpb	38.50666667	39.7175	57.22	14.86333333	8.6
Ccna2	3.05	10.5025	15.49	62.82	146.175
Nsl1	1.34	1.1825	2.495	10.63333333	18.2075
Susd2	182.8033333	148.52	182.99	81.88333333	1.0925
Nhsl1	7.36	7.64	8.9	19.52	32.055
Yipf4	39.39333333	50.4875	64.485	28.02333333	23.6475
Traip	1.54	2.055	2.825	9.436666667	18.9925
Gen1	1.8	1.5275	2.06	7.686666667	11.9825
Hist1h3b	70.3	251.6075	328.105	1534.98	3045.45
Cfd	128.3166667	117.2725	22.97	174.1666667	93.3025
Cenph	1.813333333	1.4925	3.37	16.87	36.285
Cks1b	6.51	12.93	19.535	67.52666667	120.3575
Hist1h4k	221.8	367.6725	428.95	1420.123333	2415.9875
Camkv	0.586666667	0.7575	6.8	24.07666667	75.415
Slc25a53	10.08333333	11.1175	12.565	4.626666667	1.7275
Lysmd2	78.90333333	87.55	120.82	50.69666667	23.6975
Adamts17	23.03666667	14.3325	10.575	25.42333333	1.725
Ckap2	3.643333333	5.005	6.455	20.44	37.405
Csmd3	0.54	0.7525	2.605	0.246666667	1.215
Nol4	0.666666667	0.715	2.205	9.626666667	19.65
Hpcal4	227.5033333	197.67	246.955	106.0633333	1.1725
Ryr1	2.053333333	1.2	0.75	2.476666667	1.505
Hist1h2bf	20.42666667	46.465	50.465	195.73	252.995
Ucp1	110.82	192.24	24.46	163.4866667	4.8825
Neto2	3.87	3.8625	7.725	18.98666667	23.9675
Arhgef2	18.5	29.6625	20.21	52.15333333	66.155
Kifc1	3.076666667	6.5525	15.59	56.57333333	150.8875
Hist1h1c	595.21	885.945	710.455	1687.413333	2302.5175
Rrm1	15.08333333	18.315	24.915	61.11666667	116.0825
Csrp2	52.11	63.9275	55.245	116.6466667	108.14
Eci1	46.72	59.89	19.88	66.34333333	15.3525
Haus5	3.713333333	5.49	5.3	15.74	35.6325
Hist2h2aa1	728.1333333	1148.305	1047.91	2810.19	5100.225
Smc4	16.61666667	35.28	24.955	75.18333333	196.3675
Zbed3	13.47333333	17.54	17.735	38.20333333	42.155
Uhrf1	3.27	11.6975	13	64.98	149.1975
Hhipl1	3.916666667	4.4525	6.425	1.98	0.36
Dnajc9	22.80333333	33.82	26.925	56.76	110.1775
Hmgn5	26.09333333	31.315	35.295	77.8	121.1525
Spag5	1.463333333	2.9475	5.335	22.33333333	61.995
Itga1	87.01333333	85.355	84.3	39.29666667	5.1825
Cygb	122.2933333	111.9	124.04	54.76666667	5.5
A730020E08Rik	2.51	2.4125	2.415	7.836666667	3.6625
P2rx2	18.4	15.89	24.39	8.446666667	1.5075
Parpbp	1.2	2.0225	3.175	9.69	24.215
Angptl6	19.72666667	22.315	26.885	11.44333333	4.885
Cks2	3.956666667	13.2375	13.695	56.04666667	177.895
Ccser1	8.206666667	6.2875	13.49	29.28333333	13.555
Nfe2l3	4.64	5.0175	28.055	123.7666667	72.99
Mycbpap	1.023333333	0.99	2.33	0.663333333	0.1725
Mybpc1	2.343333333	0.75	0.37	2.513333333	0.3225
Bub1	0.66	0.9175	2.89	13.55333333	28.9475
Hist1h3e	154.5	249.945	276.515	899.1633333	1561.5525
Tmem132c	54.99	50.2975	59.78	25.01	0.55
Cox8b	165.5666667	215.87	40.355	254.8666667	3.235
Arhgap20	3.82	3.1725	4.275	10.27666667	9.655
Brca1	2.45	3.38	5.545	16.46666667	35.97
